ts,open,high,low,close,volume
2026-01-01T00:00:00,100,101,99,100,10
2026-01-01T00:01:00,100,101,99,100,10
2026-01-01T00:02:00,100,101,99,100,10
2026-01-01T00:03:00,100,101,99,100,10
2026-01-01T00:04:00,100,101,99,100,10
2026-01-01T00:05:00,100,101,99,100,10
2026-01-01T00:06:00,100,101,99,100,10
2026-01-01T00:07:00,100,101,99,100,10
2026-01-01T00:08:00,100,101,99,100,10
2026-01-01T00:09:00,100,101,99,100,10
2026-01-01T00:10:00,100,101,99,100,10
2026-01-01T00:11:00,100,101,99,100,10
2026-01-01T00:12:00,100,101,99,100,10
2026-01-01T00:13:00,100,101,99,100,10
2026-01-01T00:14:00,100,101,99,100,10
2026-01-01T00:15:00,100,101,99,100,10
2026-01-01T00:16:00,100,101,99,100,10
2026-01-01T00:17:00,100,101,99,100,10
2026-01-01T00:18:00,100,101,99,100,10
2026-01-01T00:19:00,100,101,99,100,10
2026-01-01T00:20:00,100,101,99,100,10
2026-01-01T00:21:00,100,101,99,100,10
2026-01-01T00:22:00,100,101,99,100,10
2026-01-01T00:23:00,100,101,99,100,10
2026-01-01T01:24:00,100,101,99,100,10
2026-01-01T01:25:00,100,101,99,100,10
2026-01-01T01:26:00,100,101,99,100,10
2026-01-01T01:27:00,100,101,99,100,10
2026-01-01T01:28:00,100,101,99,100,10
2026-01-01T01:29:00,100,101,99,100,10
2026-01-01T01:30:00,100,101,99,100,10
2026-01-01T01:31:00,100,101,99,100,10
2026-01-01T01:32:00,100,101,99,100,10
2026-01-01T01:33:00,100,101,99,100,10
2026-01-01T01:34:00,100,101,99,100,10
2026-01-01T01:35:00,100,101,99,100,10
2026-01-01T01:36:00,100,101,99,100,10
2026-01-01T01:37:00,100,101,99,100,10
2026-01-01T01:38:00,100,101,99,100,10
2026-01-01T01:39:00,100,101,99,100,10
2026-01-01T01:40:00,100,101,99,100,10
2026-01-01T01:41:00,100,101,99,100,10
2026-01-01T01:42:00,100,101,99,100,10
2026-01-01T01:43:00,100,101,99,100,10
2026-01-01T01:44:00,100,101,99,100,10
2026-01-01T01:45:00,100,101,99,100,10
2026-01-01T01:46:00,100,101,99,100,10
2026-01-01T01:47:00,100,101,99,100,10
2026-01-01T02:48:00,100,101,99,100,10
2026-01-01T02:49:00,100,101,99,100,10
2026-01-01T02:50:00,100,101,99,100,10
2026-01-01T02:51:00,100,101,99,100,10
2026-01-01T02:52:00,100,101,99,100,10
2026-01-01T02:53:00,100,101,99,100,10
2026-01-01T02:54:00,100,101,99,100,10
2026-01-01T02:55:00,100,101,99,100,10
2026-01-01T02:56:00,100,101,99,100,10
2026-01-01T02:57:00,100,101,99,100,10
2026-01-01T02:58:00,100,101,99,100,10
2026-01-01T02:59:00,100,101,99,100,10
2026-01-01T02:00:00,100,101,99,100,10
2026-01-01T02:01:00,100,101,99,100,10
2026-01-01T02:02:00,100,101,99,100,10
2026-01-01T02:03:00,100,101,99,100,10
2026-01-01T02:04:00,100,101,99,100,10
2026-01-01T02:05:00,100,101,99,100,10
2026-01-01T02:06:00,100,101,99,100,10
2026-01-01T02:07:00,100,101,99,100,10
2026-01-01T02:08:00,100,101,99,100,10
2026-01-01T02:09:00,100,101,99,100,10
2026-01-01T02:10:00,100,101,99,100,10
2026-01-01T02:11:00,100,101,99,100,10
2026-01-01T03:12:00,100,101,99,100,10
2026-01-01T03:13:00,100,101,99,100,10
2026-01-01T03:14:00,100,101,99,100,10
2026-01-01T03:15:00,100,101,99,100,10
2026-01-01T03:16:00,100,101,99,100,10
2026-01-01T03:17:00,100,101,99,100,10
2026-01-01T03:18:00,100,101,99,100,10
2026-01-01T03:19:00,100,101,99,100,10
2026-01-01T03:20:00,100,101,99,100,10
2026-01-01T03:21:00,100,101,99,100,10
2026-01-01T03:22:00,100,101,99,100,10
2026-01-01T03:23:00,100,101,99,100,10
2026-01-01T03:24:00,100,101,99,100,10
2026-01-01T03:25:00,100,101,99,100,10
2026-01-01T03:26:00,100,101,99,100,10
2026-01-01T03:27:00,100,101,99,100,10
2026-01-01T03:28:00,100,101,99,100,10
2026-01-01T03:29:00,100,101,99,100,10
2026-01-01T03:30:00,100,101,99,100,10
2026-01-01T03:31:00,100,101,99,100,10
2026-01-01T03:32:00,100,101,99,100,10
2026-01-01T03:33:00,100,101,99,100,10
2026-01-01T03:34:00,100,101,99,100,10
2026-01-01T03:35:00,100,101,99,100,10
2026-01-01T04:36:00,100,101,99,100,10
2026-01-01T04:37:00,100,101,99,100,10
2026-01-01T04:38:00,100,101,99,100,10
2026-01-01T04:39:00,100,101,99,100,10
