ts,open,high,low,close,volume
2026-01-01T00:00:00,100,101,99,100,1000
2026-01-01T01:00:00,101,102,100,101,1001
2026-01-01T02:00:00,102,103,101,102,1002
2026-01-01T03:00:00,103,104,102,103,1003
2026-01-01T04:00:00,104,105,103,104,1004
2026-01-01T05:00:00,105,106,104,105,1005
2026-01-01T06:00:00,106,107,105,106,1006
2026-01-01T07:00:00,107,108,106,107,1007
2026-01-01T08:00:00,108,109,107,108,1008
2026-01-01T09:00:00,109,110,108,109,1009
2026-01-01T10:00:00,100,101,99,100,1010
2026-01-01T11:00:00,101,102,100,101,1011
2026-01-01T12:00:00,102,103,101,102,1012
2026-01-01T13:00:00,103,104,102,103,1013
2026-01-01T14:00:00,104,105,103,104,1014
2026-01-01T15:00:00,105,106,104,105,1015
2026-01-01T16:00:00,106,107,105,106,1016
2026-01-01T17:00:00,107,108,106,107,1017
2026-01-01T18:00:00,108,109,107,108,1018
2026-01-01T19:00:00,109,110,108,109,1019
2026-01-01T20:00:00,100,101,99,100,1020
2026-01-01T21:00:00,101,102,100,101,1021
2026-01-01T22:00:00,102,103,101,102,1022
2026-01-01T23:00:00,103,104,102,103,1023
2026-01-01T00:00:00,104,105,103,104,1024
2026-01-01T01:00:00,105,106,104,105,1025
2026-01-01T02:00:00,106,107,105,106,1026
2026-01-01T03:00:00,107,108,106,107,1027
2026-01-01T04:00:00,108,109,107,108,1028
2026-01-01T05:00:00,109,110,108,109,1029
2026-01-02T06:00:00,100,101,99,100,1030
2026-01-02T07:00:00,101,102,100,101,1031
2026-01-02T08:00:00,102,103,101,102,1032
2026-01-02T09:00:00,103,104,102,103,1033
2026-01-02T10:00:00,104,105,103,104,1034
2026-01-02T11:00:00,105,106,104,105,1035
2026-01-02T12:00:00,106,107,105,106,1036
2026-01-02T13:00:00,107,108,106,107,1037
2026-01-02T14:00:00,108,109,107,108,1038
2026-01-02T15:00:00,109,110,108,109,1039
2026-01-02T16:00:00,100,101,99,100,1040
2026-01-02T17:00:00,101,102,100,101,1041
2026-01-02T18:00:00,102,103,101,102,1042
2026-01-02T19:00:00,103,104,102,103,1043
2026-01-02T20:00:00,104,105,103,104,1044
2026-01-02T21:00:00,105,106,104,105,1045
2026-01-02T22:00:00,106,107,105,106,1046
2026-01-02T23:00:00,107,108,106,107,1047
2026-01-02T00:00:00,108,109,107,108,1048
2026-01-02T01:00:00,109,110,108,109,1049
2026-01-02T02:00:00,100,101,99,100,1050
2026-01-02T03:00:00,101,102,100,101,1051
2026-01-02T04:00:00,102,103,101,102,1052
2026-01-02T05:00:00,103,104,102,103,1053
2026-01-02T06:00:00,104,105,103,104,1054
2026-01-02T07:00:00,105,106,104,105,1055
2026-01-02T08:00:00,106,107,105,106,1056
2026-01-02T09:00:00,107,108,106,107,1057
2026-01-02T10:00:00,108,109,107,108,1058
2026-01-02T11:00:00,109,110,108,109,1059
2026-01-03T12:00:00,100,101,99,100,1060
2026-01-03T13:00:00,101,102,100,101,1061
2026-01-03T14:00:00,102,103,101,102,1062
2026-01-03T15:00:00,103,104,102,103,1063
2026-01-03T16:00:00,104,105,103,104,1064
2026-01-03T17:00:00,105,106,104,105,1065
2026-01-03T18:00:00,106,107,105,106,1066
2026-01-03T19:00:00,107,108,106,107,1067
2026-01-03T20:00:00,108,109,107,108,1068
2026-01-03T21:00:00,109,110,108,109,1069
2026-01-03T22:00:00,100,101,99,100,1070
2026-01-03T23:00:00,101,102,100,101,1071
2026-01-03T00:00:00,102,103,101,102,1072
2026-01-03T01:00:00,103,104,102,103,1073
2026-01-03T02:00:00,104,105,103,104,1074
2026-01-03T03:00:00,105,106,104,105,1075
2026-01-03T04:00:00,106,107,105,106,1076
2026-01-03T05:00:00,107,108,106,107,1077
2026-01-03T06:00:00,108,109,107,108,1078
2026-01-03T07:00:00,109,110,108,109,1079
